function, start time, duration, instructions count, DTCM LD, DTCM ST, Vec LD count, Vec ST count, Sc LD count, Sc ST count, I Fetch Count, IO Read, IO Write
arm_cmplx_dot_prod_f32, 186334.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
th_cmplx_dot_prod_f32, 186331.000000, 36.000000, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0
arm_cmplx_conj_f32, 186421.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 186420.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_dot_prod_f32, 186458.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
th_cmplx_dot_prod_f32, 186455.000000, 36.000000, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0
arm_cmplx_conj_f32, 186545.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 186544.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_dot_prod_f32, 186582.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
th_cmplx_dot_prod_f32, 186579.000000, 36.000000, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0
arm_cmplx_conj_f32, 186669.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 186668.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_dot_prod_f32, 186706.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
